headline_id,ticker,title,human_label_1 (positive/negative/neutral),human_label_2
a092eb51429e7985,KO,When Stock Markets Become a Single Bet,,
06735344fd32ded4,AMD,Broadcom Stock And The Ninety-Billion-Dollar Roadmap,,
1aee0414be212446,TSLA,"S&P 500, Nasdaq, Dow Futures Extend Slide As US-Iran Hormuz Tensions Flare Again, Inflation Data Stings: ORCL, DJT, SMCI, TSLA In Focus",,
b39ac31a9e86bbc1,WMT,Is Walmart a Millionaire-Maker Stock?,,
e5879eb1018961bb,TSLA,TSLA Stock Hits 1-Month Low Amid SpaceX Merger Jitters — But Analyst Sees Tesla Holders Getting 66% Of Deal Within A Year,,
b6bdcce244ab5bc2,TSLA,The Capex Signal That Will Make or Break IGPT in the Next 12 Months,,
f17068a264e37c56,PLTR,"McCarthy, Palantir partner on AI",,
06d897888834e6a2,AAPL,Forget the AI Headlines: Apple's First Foldable iPhone Could Be the Stock's Biggest Catalyst in Years,,
e5793f95e0ee1784,NVDA,Is MaxLinear the Next AI Stock to 10X?,,
da15941aee235744,JPM,Trump Credits Stealth Operations for Holding Oil Prices Down,,
8553ea52ad05e40b,TSLA,GM Follows Tesla’s Playbook — Expands Into Energy Storage With Peak Partnership,,
99c3c2de8d8a3a8c,PLTR,How Fake News Became the Most Dangerous Force in Energy Markets,,
7f755a2f1ad36431,META,"AppLovin Touts AXON-Led Growth, Consumer Ad Expansion and Buybacks",,
ee69389a53bba7b4,NVDA,"SpaceX Wants to Make Human Civilization ""Multiplanetary."" Here's What That Means for Its Upcoming IPO.",,
572aa9c32ae539a8,AAPL,Why Apple's WWDC and Siri AI hype left investors sad,,
340cfd925e9962e2,AAPL,Morgan Stanley revamps Apple stock target after key event,,
4b0d23d390c3a62d,TSLA,The Model 3 Era at Rivian Begins. Its Lower-Price EV Is Here.,,
02db3dbf232f7574,TSLA,Fluence Scores Independent Validation of Industry-Leading Battery Storage Reliability,,
f92de7d35289fa11,JPM,"JPMorgan Turns More Constructive on Travelers Companies (TRV), Citing Lower Reserve Risk",,
10e460eb340c0731,AAPL,Apple-Nvidia Friends Again? Nvidia Says Its Chips In Google Cloud Are Powering Apple Intelligence,,
6dcf357c7206082a,META,Broadcom Stock And The Two Customers In The Shadows,,
d16d73b3a4baf98a,TSLA,TSLA Stock Watches SpaceX IPO While Cheapest Cybertruck Hits Driveways After Long Wait,,
1f75e46eeb3fc884,TSLA,Tesla's China Sales Just Snapped a 2-Month Slump With a 22% Jump. Is the Turnaround Real?,,
144421b4cf24f428,META,Amazon Is the Latest AI Giant to Sign a Blockbuster Deal With This Under-the-Radar Semiconductor Company (Behind Nvidia and Meta),,
41a9600ff385ebad,AMD,Worried About Which AI Stock to Buy? This Low-Cost ETF Lets You Own the Whole Trade.,,
c00297279c775b40,META,AI Stocks Lead Tech Sector Slide. 'Summer Swoon Has Arrived.',,
4257fad865054a84,KO,Celsius Holdings' Portfolio Reaches 20.9% Share: More Gains Ahead?,,
1a36e2b5e427cebf,JPM,Amazon Takes On $17.5B In Fresh Debt To Supercharge AI Expansion,,
ba211f8eb7c533f4,META,"AI Infrastructure Short-Circuits But Now Sparks Not One, But Two Buy Points",,
c4003bba36ff00e8,JPM,Tesla Stock Surges Into Bull Case as JPMorgan Lifts Target 227%,,
898c3b90f337667f,XOM,ExxonMobil and Chevron Reported a Combined $7.6 Billion Profit in Guyana Last Year. What Energy Investors Need to Know.,,
58aa8197ffb6f344,XOM,Former Exxon CEO Lee Raymond Dies at 87,,
04096d388076658c,META,Louis Navellier says avoid IPO FOMO with five hidden AI plays,,
0e090e6993d6a5ca,TSLA,Wall Street sees AI trade bearing fruit with MANGOS ahead of IPOs,,
0aaae0c5b6ec8987,META,2 Bargain Artificial Intelligence (AI) Stocks to Buy Now Down Around 25% From Their All-Time Highs,,
8121a3953d55af69,AMD,What Could Go Wrong For Broadcom Stock?,,
456ed98287716e40,WMT,Which Robotics Stock Most Likely Gets Acquired? 3 Targets Wall Street Is Watching,,
ada4d9371926fdc5,WMT,Is Amazon's $225 Billion AI Chip Bet Too Big To Fail?,,
